"","year","state","state_po","state_fips","pres_percent_vote","vote_spread","incumbent_party","potus_run_reelect","house_percent_vote","mean_senate_percent_vote","totalvotes","per_capita_personal_income","population","yoy_per_cap_income_change","yoy_pop_change","zscore_pcpi","exports","gdp","personal_consumption_exp","exports_YOY","gdp_YOY","personal_consumption_exp_YOY","exports_zscore","gdp_zscore","personal_consumption_exp_zscore","per_hs_degree","per_bachelor_degree","black_fem_pop","white_fem_pop","fem_pop","white_pop","black_pop","per_white","per_black","per_fem","per_white_fem","per_black_fem","poll_trend","hawaii_dummy","lag_pres_vote","lag_vote_spread","lag_participation","change_lag_pres_vote","change_house_percent_vote","change_poll_trend","pres_win"
"333",2020,"Nevada","NV",32,NA,2.41712836051662,1,1,51.1329407332005,50.4119810889879,NA,50883,3080156,1.1307082064843,1.05572904509688,0.621874669322213,1927.4,17302.5,11860.3,0.759836000946148,0.903916580032077,0.891664724500613,-0.806781561240933,-0.405338228738591,-0.436734203081169,86.8514172469864,25.6928497808999,160037,1118349,1535329,2277552,316303,0.739427483543041,0.102690578009685,0.49845819497454,0.363081934811094,0.0519574333248056,50.0423925,0,47.917823678119,2.41712836051662,0.385727746067523,-0.0847735626057548,0.321248793206397,0.11208961025508,NA
"334",1976,"New Hampshire","NH",33,43.4726921004514,-11.2741330930698,1,1,NA,NA,339627,6418,847025,NA,NA,NA,297.3,5965.3,3837.7,NA,NA,NA,NA,NA,NA,57.6,10.9,1488,429690,432986,840129,3480,0.991858563796818,0.00410849738791653,0.511184439656445,0.507293173164901,0.00175673681414362,NA,0,NA,NA,NA,NA,NA,NA,0
"335",1980,"New Hampshire","NH",33,28.3507383004766,-29.3864423552697,0,1,47.3230461914864,48.5081134364574,383990,10039,924250,1.56419445310065,1.09117204332812,NA,406,6688.8,4227.4,1.11080711354309,0.983762795623014,0.989258886574778,0.0720435711431341,-0.00765300659896808,0.000357741477735234,72.3,18.2,1756,469901,474232,915908,4087,0.990974303489316,0.00442196375439546,0.513099269678117,0.508413308087639,0.00189991885312415,30.0187854,0,43.4726921004514,-11.2741330930698,0.400964552404002,NA,NA,NA,0
"336",1984,"New Hampshire","NH",33,30.9451689877193,-37.7221627959599,1,1,42.4616425824973,48.5081134364574,388904,14717,976863,1.46598266759637,1.05692507438464,0.342881327483547,402.5,7686.1,4873.2,1.09108159392789,1.0690134772389,1.04642473695512,0.0414433470195499,0.170374905363505,0.123693374754159,72.3,18.2,2314,493872,499964,964301,5301,0.987140469031993,0.00542655418415888,0.51180564726067,0.505569358241637,0.00236880708963283,38.5168618,0,28.3507383004766,-29.3864423552697,0.415461184744387,-0.347849490549903,-0.102728036342337,0.283091946818075,0
"337",1988,"New Hampshire","NH",33,36.334498640475,-26.1563731202486,1,0,35.0887030783353,32.370523218992,450525,19696,1082576,1.33831623292791,1.10821681238823,0.386715813288834,575.6,8891.4,5745.9,1.14775672981057,1.04192837723821,1.03647383516424,0.136437086255372,0.121462211013577,0.0986514713126748,72.3,18.2,2986,544161,552400,1065556,6772,0.984278240049659,0.00625544996379007,0.510264406378859,0.502653855248962,0.00275823591138174,30.1866045333333,0,30.9451689877193,-37.7221627959599,0.398115191178292,0.0915119267704978,-0.173637642251764,-0.216275596644446,0
"338",1992,"New Hampshire","NH",33,38.9117950913508,1.22036800908388,1,1,48.5295787441808,31.3319125716815,537215,22337,1117784,1.1340881397238,1.03252242798658,0.271118540595568,797.2,9733,6269.7,1.06364242828552,1.03666070211316,1.03610854045479,0.099051595043515,0.0836408305751975,0.0763181819169028,82.2,24.4,3090,558488,567838,1093680,6830,0.978435905326968,0.00611030395854655,0.508003335170301,0.499638570600402,0.00276439813058695,38.8687938,0,36.334498640475,-26.1563731202486,0.416160158732505,0.174157383173265,0.383054216504917,0.287617285908371,1
"339",1996,"New Hampshire","NH",33,49.5705773494403,10.0040878217146,0,1,37.7265308101294,31.3319125716815,496597,26339,1174719,1.17916461476474,1.05093560115371,0.281264678358817,1051,11097,7176.8,1.05152576288144,1.04049657293415,1.03342117010094,0.130716174788789,0.140674831444803,0.115175720522362,82.2,24.4,3677,579140,590552,1137611,8116,0.968411168968919,0.00690888629536085,0.502717671204773,0.493003007527758,0.00313011026466755,50.4159938,0,38.9117950913508,1.22036800908388,0.480607165606235,0.0709324897084107,-0.222607494513781,0.297081511183915,1
"340",2000,"New Hampshire","NH",33,46.8031791607873,-1.26713068965578,0,0,39.0541340690628,28.2440831786867,569081,35380,1239882,1.3432552488705,1.05547113820412,0.583508610321851,1408.8,13178.4,8687.5,1.09506412747765,1.04075056861259,1.0504074674147,0.223182069423098,0.19752397708255,0.210351988908463,87.4,28.7,8844,1218984,1258223,2395595,19928,0.966057657099627,0.00803624861075489,0.507396268354569,0.983145170266203,0.00713293684398999,40.8525840666667,0,49.5705773494403,10.0040878217146,0.422736841746835,0.273921627955395,0.0351901759961699,-0.189689997409777,0
"341",2004,"New Hampshire","NH",33,50.2016108225574,1.3672678379506,1,1,39.66800693663,46.4016460353137,678287,39484,1290121,1.1159977388355,1.04051917843795,0.455757110099692,1434,14465,9771.1,1.09616266625898,1.03431509249129,1.03335554215976,0.176483466521454,0.173369560119622,0.164663291609104,87.4,28.7,5960,627264,653845,1236305,13224,0.958286083243355,0.010250201337704,0.506809051244031,0.486205557463215,0.00461972171602509,48.2123486,0,46.8031791607873,-1.26713068965578,0.458979967448515,-0.0558274350759451,0.0157185118093151,0.180154198356781,1
"342",2008,"New Hampshire","NH",33,54.1268970561346,9.60546858517237,1,0,52.011453576014,46.4016460353137,710970,45694,1315906,1.15727889778138,1.01998649739055,0.436600990624808,1961.2,15667,10581.9,1.06465447044134,1.00001914889543,0.99430584918957,0.274803317075057,0.04201143236052,0.0200164874447234,87.4,28.7,7010,634202,666576,1250859,15739,0.950568657639679,0.0119605807709669,0.506552899675205,0.481950838433748,0.00532712822952399,51.4957345333333,0,50.2016108225574,1.3672678379506,0.525754561006293,0.0726111286178908,0.31116881317236,0.0681025925655349,1
