"","state","year","pres_win","pres_percent_vote","poll_trend","lag_pres_vote","lag_participation","per_white","change_house_percent_vote","lag_vote_spread","lower_pred","pred","upper_pred","prob_win"
"263","Missouri",1984,0,39.98,37.1586286666667,44.3457165933907,0.426623020150891,0.88499090301724,-0.0878805471338788,-6.81004693726712,37.42,42.44,47.47,0.81
"264","Missouri",1988,0,47.85,41.1836452666667,39.975249332123,0.426663967988912,0.88176896994079,0.0156651579989287,-20.0495013357541,39.87,44.88,49.9,5.25
"265","Missouri",1992,1,44.07,42.4388282666667,47.8504491627286,0.411911911222482,0.879826746693231,-0.0708613578360504,-3.98112389094737,42.02,47.03,52.03,26.91
"266","Missouri",1996,1,47.54,47.4021749333333,44.0716857569409,0.458352253483304,0.864062267274203,-0.0588598733984709,10.1500039727843,44.66,49.69,54.72,85.94
"267","Missouri",2000,0,47.08,43.8740167333333,47.5395782796162,0.39732006665497,0.857432696929084,-0.0108792780441646,6.29818842342561,41.96,46.96,51.96,21.52
"268","Missouri",2004,0,46.1,45.2327230666667,47.0842733481024,0.420861789618327,0.850950312479285,-0.107128984611233,-3.33854261127204,42.91,47.91,52.9,38.76
"269","Missouri",2008,0,49.29,47.4721594,46.1004465168319,0.475206520265962,0.844341479521317,0.0575955172186904,-7.19574542243363,44.5,49.51,54.52,76.58
"270","Missouri",2012,0,44.38,42.2028581333333,49.2926478657051,0.493795826949606,0.838186318994178,-0.124942875533615,-0.133426546173681,39.9,44.92,49.94,6.76
"271","Missouri",2016,0,38.14,38.8660826666667,44.3834835454533,0.45769505742263,0.832541252986832,-0.130204177059003,-9.38025759042376,35.36,40.38,45.39,0.13
"272","Missouri",2020,NA,NA,44.72600375,38.1352308352367,0.461400149659897,0.828716524250875,0.180419376922971,-18.6371170029249,38.89,43.94,48.99,5.8
"273","Montana",1980,0,32.43,NA,45.4041869718374,0.433388132958745,0.945975414325415,NA,-7.43579915676504,NA,NA,NA,NA
"274","Montana",1984,0,38.18,NA,32.4306501956302,0.461427673083555,0.939683568358785,0.0349407348580334,-24.3938761155317,NA,NA,NA,NA
"275","Montana",1988,0,46.2,36.4366736666667,38.1765818454278,0.468236237123951,0.934167708072982,0.0329456835918344,-22.2979002385679,35.32,40.34,45.36,0.13
"276","Montana",1992,1,37.63,36.4068322666667,46.198526556441,0.456978255436141,0.926697506569626,-0.0855635358381665,-5.87299069663143,36.33,41.36,46.38,0.4
"277","Montana",1996,0,41.25,41.3969464666667,37.6311245229345,0.497212298824128,0.919139434067434,-0.0169452137302407,2.50862797534238,37.92,42.98,48.05,3.23
"278","Montana",2000,0,33.37,32.5747445333333,41.2500644831644,0.459329943785867,0.912689358943009,-0.0885151162315388,-2.88147625914126,30.58,35.62,40.65,0
"279","Montana",2004,0,38.57,34.5643084666667,33.3651267926401,0.454744720189694,0.90768476434099,-0.263575677683138,-25.0743334322824,30.45,35.47,40.49,0
"280","Montana",2008,0,47.27,45.1978220666667,38.565028394837,0.484332947315564,0.90360246411618,0.197835466402,-20.5031147737515,40.96,45.99,51.02,19.02
"281","Montana",2012,0,41.7,42.3361635333333,47.2684647700818,0.501947430139848,0.896705762101968,-0.135082928402782,-2.26398617450404,39.57,44.58,49.6,4.08
"282","Montana",2016,0,35.94,33.8962633333333,41.6981373748058,0.482223747562969,0.891392590158705,0.193975019383021,-13.6533980101147,30.51,35.55,40.59,0
"283","Montana",2020,NA,NA,43.9919725,35.9352187751503,0.475113343882313,0.889063023378101,0.144495749469598,-20.5309730934268,37.72,42.78,47.84,2.72
"284","Nebraska",1980,0,26.02,23.8440116666667,38.4496719401268,0.391728716038017,0.958215883014394,NA,-20.7542163233891,NA,NA,NA,NA
"285","Nebraska",1984,0,28.81,25.1880885333333,26.0227384669751,0.406751018892117,0.954195354763011,-0.098696397135673,-39.5272800621704,22.87,27.9,32.93,0
"286","Nebraska",1988,0,39.19,35.3221437333333,28.8098268643899,0.410471107955368,0.949579917491634,0.0574660036604877,-41.7408639911669,32.33,37.36,42.4,0.01
"287","Nebraska",1992,0,29.4,31.2960727333333,39.1910380745769,0.420919300759731,0.939768701987421,0.331824523053382,-20.9717823316426,30.48,35.51,40.54,0
"288","Nebraska",1996,0,34.95,36.8417073333333,29.4034541574356,0.457623595648535,0.925208813794257,-0.245644331375514,-17.194046201864,32.12,37.18,42.24,0.02
"289","Nebraska",2000,0,33.25,32.0650679333333,34.9506580161349,0.404731320276745,0.925663138485955,-0.156127763033617,-18.7043392898002,28.83,33.84,38.85,0
"290","Nebraska",2004,0,32.68,31.7448756,33.2530390132837,0.40670490483248,0.91690151311615,0.0986617245960908,-28.9923230213237,28.06,33.07,38.08,0
"291","Nebraska",2008,0,41.6,39.5008496666667,32.6821608201638,0.444837855913843,0.906829186284847,0.332075648295649,-33.2164803787269,34.66,39.71,44.76,0.15
"292","Nebraska",2012,0,38.03,37.2074874666667,41.5982657769247,0.446053670218629,0.898611829797934,-0.355377166397574,-14.9335875928669,33.65,38.68,43.7,0.04
"293","Nebraska",2016,0,33.7,31.6183863333333,38.027314417929,0.428628777917049,0.887375001049529,0.221205595142595,-21.7758777611191,27.65,32.69,37.72,0
